PROJECT NO  : PRJ8803_QFN56_GPIO,,,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,,,,
DIE_SIZE : 3164x4304,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,X_COORD,Y_COORD,X_LEN,Y_LEN
,,D1.54,PAD_DDR_VDDA33,-,,B,,,,PSRAM-AIP,1811.9,42.75,118,58
,,D1.55,PAD_DQ0,-,,B,,,,PSRAM-AIP,1419.9,200.55,58,96
,,D1.55,PAD_DQ0,-,,B,,,,PSRAM-AIP,1419.9,200.55,58,96
,,D1.56,PAD_DQ1,-,,B,,,,PSRAM-AIP,1479.9,200.55,58,96
,,D1.56,PAD_DQ1,-,,B,,,,PSRAM-AIP,1479.9,200.55,58,96
0,,D1.57,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,1661.9,42.75,118,58
0,,D1.57,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,1661.9,42.75,118,58
,,D1.57.1,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,1361.9,42.75,118,58
,,D1.57.1,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,1361.9,42.75,118,58
,,D1.57.2,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,1511.9,42.75,118,58
,,D1.57.2,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,1511.9,42.75,118,58
,,D1.58,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,1539.9,200.55,58,96
,,D1.58,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,1539.9,200.55,58,96
,,D1.59,PAD_DQ2,-,,B,,,,PSRAM-AIP,1599.9,200.55,58,96
,,D1.59,PAD_DQ2,-,,B,,,,PSRAM-AIP,1599.9,200.55,58,96
,,D1.60,PAD_DQ3,-,,B,,,,PSRAM-AIP,1659.9,200.55,58,96
,,D1.60,PAD_DQ3,-,,B,,,,PSRAM-AIP,1659.9,200.55,58,96
25,VDD33_RAM,D1.61,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2111.9,42.75,118,58
25,VDD33_RAM,D1.61,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2111.9,42.75,118,58
,,D1.62,PAD_CEB_LS,-,,B,,,,PSRAM-AIP,1719.9,200.55,58,96
,,D1.62,PAD_CEB_LS,-,,B,,,,PSRAM-AIP,1719.9,200.55,58,96
,,D1.63,PAD_CKB_LS,-,,B,,,,PSRAM-AIP,1779.9,200.55,58,96
,,D1.63,PAD_CKB_LS,-,,B,,,,PSRAM-AIP,1779.9,200.55,58,96
0,,D1.64,PAD_DDR_VSSA33,-,,B,G,,,PSRAM-AIP,1899.9,200.55,58,96
0,,D1.64,PAD_DDR_VSSA33,-,,B,G,,,PSRAM-AIP,1899.9,200.55,58,96
,,D1.65,PAD_CK_LS,-,,B,,,,PSRAM-AIP,1839.9,200.55,58,96
,,D1.65,PAD_CK_LS,-,,B,,,,PSRAM-AIP,1839.9,200.55,58,96
,,D1.66,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,1961.9,42.75,118,58
,,D1.66,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,1961.9,42.75,118,58
,,D1.67,PAD_DQ4,-,,B,,,,PSRAM-AIP,1959.9,200.55,58,96
,,D1.67,PAD_DQ4,-,,B,,,,PSRAM-AIP,1959.9,200.55,58,96
25,VDD33_RAM,D1.68,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2411.9,42.75,118,58
25,VDD33_RAM,D1.68,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2411.9,42.75,118,58
,,D1.69,PAD_DQ5,-,,B,,,,PSRAM-AIP,2019.9,200.55,58,96
,,D1.69,PAD_DQ5,-,,B,,,,PSRAM-AIP,2019.9,200.55,58,96
,,D1.70,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,2079.9,200.55,58,96
,,D1.70,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,2079.9,200.55,58,96
0,,D1.71,PAD_DDR_VSSA33,-,,B,G,,,PSRAM-AIP,2261.9,42.75,118,58
0,,D1.71,PAD_DDR_VSSA33,-,,B,G,,,PSRAM-AIP,2261.9,42.75,118,58
,,D1.72,PAD_DQ6,-,,B,,,,PSRAM-AIP,2139.9,200.55,58,96
,,D1.72,PAD_DQ6,-,,B,,,,PSRAM-AIP,2139.9,200.55,58,96
,,D1.73,PAD_DQ7,-,,B,,,,PSRAM-AIP,2199.9,200.55,58,96
,,D1.73,PAD_DQ7,-,,B,,,,PSRAM-AIP,2199.9,200.55,58,96
,,D1.74,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,2259.9,200.55,58,96
,,D1.74,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,2259.9,200.55,58,96
25,VDD33_RAM,D1.75,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2711.9,42.75,118,58
25,VDD33_RAM,D1.75,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2711.9,42.75,118,58
,,D1.76,PAD_LDQS,-,,B,,,,PSRAM-AIP,2319.9,200.55,58,96
,,D1.76,PAD_LDQS,-,,B,,,,PSRAM-AIP,2319.9,200.55,58,96
,,D1.77,PAD_LDQSB,-,,B,,,,PSRAM-AIP,2379.9,200.55,58,96
,,D1.77,PAD_LDQSB,-,,B,,,,PSRAM-AIP,2379.9,200.55,58,96
0,,D1.78,PAD_DDR_VSSA33,-,,B,G,,,PSRAM-AIP,2561.9,42.75,118,58
0,,D1.78,PAD_DDR_VSSA33,-,,B,G,,,PSRAM-AIP,2561.9,42.75,118,58
,,D1.79,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,2439.9,200.55,58,96
,,D1.79,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,2439.9,200.55,58,96
,,D1.80,PAD_LDM,-,,B,,,,PSRAM-AIP,2499.9,200.55,58,96
,,D1.80,PAD_LDM,-,,B,,,,PSRAM-AIP,2499.9,200.55,58,96
,,D1.81,PAD_CEB,-,,B,,,,PSRAM-AIP,2559.9,200.55,58,96
,,D1.81,PAD_CEB,-,,B,,,,PSRAM-AIP,2559.9,200.55,58,96
25,VDD33_RAM,D1.82,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2919.9,200.55,58,96
25,VDD33_RAM,D1.82,PAD_DDR_VDDA33,-,R,B,P,,,PSRAM-AIP,2919.9,200.55,58,96
,,D1.83,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,2619.9,200.55,58,96
,,D1.83,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,2619.9,200.55,58,96
,,D1.84,PAD_CK,-,,B,,,,PSRAM-AIP,2679.9,200.55,58,96
,,D1.84,PAD_CK,-,,B,,,,PSRAM-AIP,2679.9,200.55,58,96
,,D1.86,PAD_CKB,-,,B,,,,PSRAM-AIP,2739.9,200.55,58,96
,,D1.86,PAD_CKB,-,,B,,,,PSRAM-AIP,2739.9,200.55,58,96
,,D1.87,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,2799.9,200.55,58,96
,,D1.87,PAD_DDR_VLDO,-,,B,,,,PSRAM-AIP,2799.9,200.55,58,96
,,D1.88,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,2859.9,200.55,58,96
,,D1.88,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,2859.9,200.55,58,96
,,D1.90,PAD_DDR_VLDO,,,B,G,,,PSRAM-AIP,2919.9,494.82,65,65
0,,D1.91,GND_APR%C%U_PAD_GNDA_8,-,,B,G,,,,45.3,1280,58,118
0,,D1.92,GND_APR%C%U_PAD_GNDA_9,-,,R,G,,,,45.3,980,58,118
0,,D1.92,GND_APR%C%U_PAD_GNDA_9,-,,R,G,,,,45.3,980,58,118
26,PIO_7,D1.93,PIO_7,-,R,R,,,,,3114.7,1325,64.52,54
27,PIO_8,D1.94,PIO_8,-,R,R,,,,,3114.7,1395,64.52,54
28,PIO_9,D1.95,PIO_9,-,R,R,,,,,3114.7,1465,64.52,54
29,PIO_10,D1.96,PIO_10,-,T,R,,,,,3114.7,1535,64.52,54
30,PIO_11,D1.97,PIO_11,-,T,R,,,,,3114.7,1605,64.52,54
31,PIO_12,D1.98,PIO_12,-,T,R,,,,,3114.7,1675,64.52,54
0,,D1.99,GND_APR%C%U_PAD_GNDA_10,-,,R,G,,,,45.3,180,58,118
0,,D1.99,GND_APR%C%U_PAD_GNDA_10,-,,R,G,,,,45.3,180,58,118
32,PIO_13,D1.100,PIO_13,-,T,R,,,,,3114.7,1865,64.52,54
33,PIO_14,D1.101,PIO_14,-,T,R,,,,,3114.7,1935,64.52,54
34,PIO_15,D1.102,PIO_15,-,T,R,,,,,3114.7,2005,64.52,54
35,PIO_16,D1.103,PIO_16,-,T,R,,,,,3114.7,2075,64.52,54
36,PIO_17,D1.104,PIO_17,-,T,R,,,,,3114.7,2145,64.52,54
0,,D1.105,GND_APR%C%U_PAD_GNDA_11,-,,R,G,,,,151.1,45.3,118,58
0,,D1.105,GND_APR%C%U_PAD_GNDA_11,-,,R,G,,,,151.1,45.3,118,58
0,,D1.106,GND_APR%C%U_PAD_GNDA_12,-,,R,G,,,,1141.1,45.3,118,58
D3.7,,D1.106,GND_APR%C%U_PAD_GNDA_12,-,,R,G,,,,1141.1,45.3,118,58
37,VDD11,D1.107,VDD11_APR%IO%U_PAD_VDDD11_3,-,T,R,P,,,,3114.7,2450,58,58
0,,D1.108,GND_APR%C%U_PAD_GNDA_13,-,,R,G,,,,3004,45.3,54,64.52
0,,D1.108,GND_APR%C%U_PAD_GNDA_13,-,,R,G,,,,3114.7,1230,58,118
D3.8,,D1.109,QSPI0_WP,-,,R,,,,FLASH,3114.7,2635,64.52,54
D3.9,,D1.110,QSPI0_DO,-,,R,,,,FLASH,3114.7,2705,64.52,54
D3.10,,D1.111,QSPI0_CS,-,,R,,,,FLASH,3114.7,2775,64.52,54
38,VDD33_DAC,D1.112,VDD33_FLS%IO%U_PAD_VDDA33_FLS,-,T,R,P,,,FLASH,3114.7,2840,58,58
D3.13,,D1.113,QSPI0_HOLD,-,,R,,,,FLASH,3114.7,2905,64.52,54
D3.14,,D1.114,QSPI0_CLK,-,,R,,,,FLASH,3114.7,2975,64.52,54
D3.15,,D1.115,QSPI0_DI,-,,R,,,,FLASH,3114.7,3045,64.52,54
0,,D1.116,GND_APR%C%U_PAD_GNDA_14,-,,R,G,,,,3114.7,1230,58,118
0,,D1.116,GND_APR%C%U_PAD_GNDA_14,-,,R,G,,,,3114.7,1770,58,118
38,VDD33_DAC,D1.117,PAD_AUDIO_VDD33,-,T,R,P,,,AUDIO_CODEC-AIP,3114.7,3600.755,58,58
39,MICIN,D1.118,PAD_AUDIO_IN,-,T,R,,,,AUDIO_CODEC-AIP,3114.7,3780.755,58,58
40,MICBIAS,D1.119,PAD_AUDIO_MICBIAS,-,T,R,,,,AUDIO_CODEC-AIP,3114.7,3720.755,58,58
41,LOUT,D1.120,PAD_AUDIO_LOUT,-,T,R,,,,AUDIO_CODEC-AIP,3114.7,3660.755,58,58
42,AGND,D1.121,PAD_AUDIO_VSS33,-,T,R,G,,,AUDIO_CODEC-AIP,3114.7,3840.755,58,58
0,,D1.122,GND_APR%C%U_PAD_GNDA_15,-,,T,G,,,,3114.7,1770,58,118
0,,D1.122,GND_APR%C%U_PAD_GNDA_15,-,,T,G,,,,3114.7,2240,58,118
43,PIO_18,D1.123,PIO_18,-,T,T,,,,,1425,4254.7,54,64.52
44,PIO_19,D1.124,PIO_19,-,T,T,,,,,1355,4254.7,54,64.52
45,PIO_20,D1.125,PIO_20,-,T,T,,,,,1285,4254.7,54,64.52
46,PIO_21,D1.126,PIO_21,-,T,T,,,,,1215,4254.7,54,64.52
47,PIO_22,D1.127,PIO_22,-,T,T,,,,,1145,4254.7,54,64.52
48,PIO_23,D1.128,PIO_23,-,T,T,,,,,1075,4254.7,54,64.52
49,PIO_24,D1.129,PIO_24,-,T,T,,,,,1005,4254.7,54,64.52
50,PIO_25,D1.130,PIO_25,-,T,T,,,,,935,4254.7,54,64.52
0,,D1.131,GND_APR%C%U_PAD_GNDA_16,-,,T,G,,,,3114.7,2240,58,118
0,,D1.131,GND_APR%C%U_PAD_GNDA_16,-,,T,G,,,,3114.7,2360,58,118
D1.21,,D1.132,VDD33%IO%U_PAD_VDDA33_2,-,,T,P,,,,1231.1,45.3,58,58
(D1.18),,D1.133,VDD11_APR%IO%U_PAD_VDDD11_4,-,,T,P,,,,690,4254.7,58,58
0,,D1.134,GND_APR%C%U_PAD_GNDA_17,-,,T,G,,,,3114.7,2360,58,118
0,,D1.134,GND_APR%C%U_PAD_GNDA_17,-,,T,G,,,,3114.7,2540,58,118
51,PIO_26,D1.135,PIO_26,-,T,T,,,,,505,4254.7,54,64.52
52,PIO_27,D1.136,PIO_27,-,T,T,,,,,435,4254.7,54,64.52
53,PIO_28,D1.137,PIO_28,-,T,T,,,,,365,4254.7,54,64.52
54,PIO_29,D1.138,PIO_29,-,T,T,,,,,295,4254.7,54,64.52
55,PIO_30,D1.139,PIO_30,-,T,T,,,,,225,4254.7,54,64.52
56,PIO_31,D1.140,PIO_31,-,T,T,,,,,155,4254.7,54,64.52
0,,D1.141,GND_APR%C%U_PAD_GNDA_18,-,,T,G,,,,3114.7,2540,58,118
0,,D1.141,GND_APR%C%U_PAD_GNDA_18,-,,T,G,,,,3114.7,3140,58,118
