PROJECT NO  : PRJ8803_QFN56_PSRAM,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,,
,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,
48,PIO_17,89,PIO_28,-,T,T,,,,,
49,PIO_18,90,PIO_29,-,T,T,,,,,
50,PIO_19,91,PIO_30,-,T,T,,,,,
51,PIO_20,92,PIO_31,-,T,T,,,,,
52,AGND,93,PAD_AUDIO_VSS33,-,T,T,G,,,AUDIO_CODEC,
53,LOUT,94,PAD_AUDIO_LOUT,-,T,T,,,,AUDIO_CODEC,
54,MICBIAS,95,PAD_AUDIO_MICBIAS,-,T,T,,,,AUDIO_CODEC,
55,MICIN,96,PAD_AUDIO_IN,-,T,T,,,,AUDIO_CODEC,
56,VDD33_DAC,97,PAD_AUDIO_VDD33,-,T,T,P,,,AUDIO_CODEC,
,,98,QSPI0_WP,-,,T,,,,FLASH,
,,99,QSPI0_DO,-,,T,,,,FLASH,
,,100,QSPI0_CS,-,,T,,,,FLASH,
56,VDD33_DAC,101,VDD33_FLS,-,T,T,P,,,FLASH,
,,102,QSPI0_HOLD,-,,T,,,,FLASH,
,,103,QSPI0_CLK,-,,T,,,,FLASH,
,,104,QSPI0_DI,-,,T,,,,FLASH,
,,105,GND_OSC,-,,T,G,,,OSC,
1,VDD33_ANA,106,VDD33_OSC,-,L,T,P,,,OSC,
1,VDD33_ANA,107,VDD33_PLL,-,L,T,P,,,PLL,
D1.109,,107,VDD33_PLL,,L,T,P,,,,
,,108,GND_PLL,-,,T,G,,,PLL,
,,,,,,,,,,,
,,,,,,,,,,,
(D1.107),Inner_bond,109,VDD33,-,,,P,,,Inner_bond,"(X , Y)"
Inner_bond,,110,I2 (X.Y),(X.Y),,,,,,,
Inner_bond,,111,(X.Y),(X.Y),,,,,,,
Inner_bond,,112,(X.Y),(X.Y),,,,,,,
Inner_bond,,113,(X.Y),(X.Y),,,,,,,
Inner_bond,,114,(X.Y),(X.Y),,,,,,,
Inner_bond,,115,(X.Y),(X.Y),,,,,,,
Inner_bond,,116,(X.Y),(X.Y),,,,,,,
