PROJECT NO  : PRJ8803_QFN56_PSRAM,,,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,PAD_X,PAD_Y,PAD_W,PAD_H
36,VDD33_RAM,50,PAD_DDR_VDDA33,-,R,R,P,,,PSRAM,,,,
0,,51,PAD_DDR_VSSA33,-,,R,G,,,PSRAM,,,,
0,,52,PAD_DDR_VLDO,-,,R,P,,,PSRAM,,,,
0,,53,PAD_CKB,-,,R,,,,PSRAM,,,,
0,,54,PAD_CK,-,,R,,,,PSRAM,,,,
0,,55,PAD_DDR_VSSA33,-,,R,G,,,PSRAM,,,,
0,,56,PAD_CEB,-,,R,,,,PSRAM,,,,
0,,57,PAD_LDM,-,,R,,,,PSRAM,,,,
0,,58,PAD_DDR_VLDO,-,,R,P,,,PSRAM,,,,
0,,59,PAD_DQSB,-,,R,,,,PSRAM,,,,
0,,60,PAD_DQS,-,,R,,,,PSRAM,,,,
0,,61,PAD_DDR_VSSA33,-,,R,G,,,PSRAM,,,,
0,,62,PAD_DQ7,-,,R,,,,PSRAM,,,,
0,,63,PAD_DQ6,-,,R,,,,PSRAM,,,,
0,,64,PAD_DDR_VLDO,-,,R,P,,,PSRAM,,,,
0,,65,PAD_DQ5,-,,R,,,,PSRAM,,,,
0,,66,PAD_DQ4,-,,R,,,,PSRAM,,,,
0,,67,PAD_DDR_VSSA33,-,,R,G,,,PSRAM,,,,
0,,68,PAD_CK_LS,-,,R,,,,PSRAM,,,,
0,,69,PAD_CKB_LS,-,,R,,,,PSRAM,,,,
0,,70,PAD_CEB_LS,-,,R,,,,PSRAM,,,,
0,,71,PAD_DQ3,-,,R,,,,PSRAM,,,,
0,,72,PAD_DQ2,-,,R,,,,PSRAM,,,,
0,,73,PAD_DDR_VLDO,-,,R,P,,,PSRAM,,,,
0,,74,PAD_DQ1,-,,R,,,,PSRAM,,,,
0,,75,PAD_DQ0,-,,R,,,,PSRAM,,,,
0,,76,PAD_DDR_VSSA33,-,,R,G,,,PSRAM,,,,
0,,77,PAD_RESB,-,,R,,,,PSRAM,,,,
37,PIO_18,78,PIO_18,-,R,R,,,,,,,,
38,PIO_19,79,PIO_19,-,R,R,,,,,,,,
39,PIO_20,80,PIO_20,-,R,R,,,,,,,,
40,PIO_21,81,PIO_21,-,R,R,,,,,,,,
41,PIO_22,82,PIO_22,-,R,R,,,,,,,,
42,PIO_23,83,PIO_23,-,R,R,,,,,,,,
43,VDD11,84,,-,T,R,P,,,,,,,
44,PIO_24,85,PIO_24,-,T,R,,,,,,,,
45,PIO_25,86,PIO_25,-,T,R,,,,,,,,
46,PIO_26,87,PIO_26,-,T,T,,,,,,,,
47,PIO_27,88,PIO_27,-,T,T,,,,,,,,
48,PIO_28,89,PIO_28,-,T,T,,,,,,,,
49,PIO_29,90,PIO_29,-,T,T,,,,,,,,
50,PIO_30,91,PIO_30,-,T,T,,,,,,,,
51,PIO_31,92,PIO_31,-,T,T,,,,,,,,
52,AGND,93,PAD_AUDIO_VSS33,-,T,T,G,,,AUDIO_CODEC,,,,
53,LOUT,94,PAD_AUDIO_LOUT,-,T,T,,,,AUDIO_CODEC,,,,
54,MICBIAS,95,PAD_AUDIO_MICBIAS,-,T,T,,,,AUDIO_CODEC,,,,
55,MICIN,96,PAD_AUDIO_IN,-,T,T,,,,AUDIO_CODEC,,,,
56,VDD33_DAC,97,PAD_AUDIO_VDD33,-,T,T,P,,,AUDIO_CODEC,,,,
0,,98,QSPI0_WP,-,,T,,,,FLASH,,,,
0,,99,QSPI0_DO,-,,T,,,,FLASH,,,,
0,,100,QSPI0_CS,-,,T,,,,FLASH,,,,
56,VDD33_DAC,101,VDD33_FLS,-,T,T,P,,,FLASH,,,,
0,,102,QSPI0_HOLD,-,,T,,,,FLASH,,,,
0,,103,QSPI0_CLK,-,,T,,,,FLASH,,,,
0,,104,QSPI0_DI,-,,T,,,,FLASH,,,,
0,,105,GND_OSC,-,,T,G,,,OSC,,,,
1,VDD33_ANA,106,VDD33_OSC,-,L,T,P,,,OSC,,,,
1,VDD33_ANA,107,VDD33_PLL,-,L,T,P,,,PLL,,,,
,,108,GND_PLL,-,,T,G,,,PLL,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Inner_bond,,1,I0 (X.Y),I1 (X.Y),,,,,,,,,,
Inner_bond,,2,I2 (X.Y),(X.Y),,,,,,,,,,
Inner_bond,,3,(X.Y),(X.Y),,,,,,,,,,
Inner_bond,,4,(X.Y),(X.Y),,,,,,,,,,
Inner_bond,,5,(X.Y),(X.Y),,,,,,,,,,
Inner_bond,,6,(X.Y),(X.Y),,,,,,,,,,
Inner_bond,,7,(X.Y),(X.Y),,,,,,,,,,
Inner_bond,,8,(X.Y),(X.Y),,,,,,,,,,
