PROJECT NO : PRJ8803_QFN56_GPIO,,,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,,,,
PKG_SIZE : 6000x6000,,,,,,,,,,,,,,
DIE_SIZE : 3160x4300,,,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,X_COORD,Y_COORD,X_LEN,Y_LEN
6,MIPI_CSI_RX_CLKP,15,MIPI_CSI_RX_CLKP,-,L,L,-,-,-,RX-AIP,39.3,2891.805,74,58
7,MIPI_CSI_RX_CLKN,16,MIPI_CSI_RX_CLKN,-,L,L,-,-,-,RX-AIP,39.3,2818.005,74,58
0,-,17,PAD_RX_VSSA11,-,-,L,G,-,-,RX-AIP,39.3,2746.405,74,58
8,VDD11,18,VDD11_APR%IO%U_PAD_VDDD11_1,U_PAD_VDDD11_1,L,L,P,-,-,-,71.3,2687.405,110,58
0,-,18,VDD11_APR%IO%U_PAD_VDDD11_1,U_PAD_VDDD11_1,B,L,P,-,-,-,71.3,2687.405,110,58
8,VDD11,19,VDD11_APR%IO%U_PAD_VDDD11_1_1,U_PAD_VDDD11_1_1,L,L,P,-,-,-,71.3,2627.405,110,58
D1.133,-,19,VDD11_APR%IO%U_PAD_VDDD11_1_1,U_PAD_VDDD11_1_1,-,L,P,-,-,-,71.3,2627.405,110,58
0,-,20,GND_APR%C%U_PAD_GNDA_2,U_PAD_GNDA_2,-,L,G,-,-,LDO,45.3,2537.405,58,118
0,-,20,GND_APR%C%U_PAD_GNDA_2,U_PAD_GNDA_2,-,L,G,-,-,-,45.3,2537.405,58,118
8,VDD11,21,VDD11_APR%IO%U_PAD_VDDD11_2,U_PAD_VDDD11_2,L,L,P,-,-,-,45.3,1356.285,58,58
8,VDD11,21,VDD11_APR%IO%U_PAD_VDDD11_2,U_PAD_VDDD11_2,L,L,P,-,-,-,45.3,1356.285,58,58
(D1.50),-,22,VDD33_IOB%IO%U_PAD_VDDA33_IOB,U_PAD_VDDA33_IOB,-,L,P,-,-,-,71.3,1296.285,110,58
(D1.132),-,22,VDD33_IOB%IO%U_PAD_VDDA33_IOB,U_PAD_VDDA33_IOB,-,L,P,-,-,RTC,71.3,1296.285,110,58
9,VDD33,23,VDD33_IOB%IO%U_PAD_VDDA33_IOB_1,U_PAD_VDDA33_IOB_1,L,L,P,-,-,RTC,71.3,1236.285,110,58
9,VDD33,23,VDD33_IOB%IO%U_PAD_VDDA33_IOB_1,U_PAD_VDDA33_IOB_1,L,L,P,-,-,RTC,71.3,1236.285,110,58
0,-,24,GND_APR%C%U_PAD_GNDA_3,U_PAD_GNDA_3,-,L,G,-,-,RTC,45.3,1146.285,58,118
0,-,24,GND_APR%C%U_PAD_GNDA_3,U_PAD_GNDA_3,-,L,G,-,-,RTC,45.3,1146.285,58,118
10,BOOT0_PIO_0,25,PIO_0,-,L,L,-,-,-,RTC,45.3,1051.285,64.52,54
11,BOOT1_PIO_1,26,PIO_1,-,L,L,-,-,-,RTC,45.3,981.285,64.52,54
12,BOOT2_PIO_2,27,PIO_2,-,L,L,-,-,-,RTC,45.3,911.285,64.52,54
13,TEST,28,TEST,-,L,L,-,-,-,RTC,45.3,841.285,64.52,54
14,RESETN,29,RESETN,-,L,L,-,-,-,RTC,45.3,771.285,64.52,54
15,LDO_EN,30,LDO_EN,-,B,L,-,-,-,RTC,45.3,711.285,64.52,54
16,PIO_3,31,PIO_3,-,B,L,-,-,-,RTC,45.3,651.285,64.52,54
17,PIO_4,32,PIO_4,-,B,L,-,-,-,RTC,45.3,581.285,64.52,54
18,PIO_5,33,PIO_5,-,B,L,-,-,-,-,45.3,511.285,64.52,54
19,PIO_6,34,PIO_6,-,B,L,-,-,-,-,45.3,441.285,64.52,54
0,-,35,GND_APR%C%U_PAD_GNDA_4,U_PAD_GNDA_4,-,L,G,-,-,-,45.3,346.285,58,118
0,-,35,GND_APR%C%U_PAD_GNDA_4,U_PAD_GNDA_4,-,L,G,-,-,-,45.3,346.285,58,118
0,-,36,GND_APR%C%U_PAD_GNDA_5,U_PAD_GNDA_5,-,L,G,-,-,-,45.3,256.285,58,58
0,-,37,GND_APR%C%U_PAD_GNDA_6,U_PAD_GNDA_6,-,B,G,-,-,-,106.575,45.3,58,58
20,VBAT,38,VDD33_BAT%IO%U_PAD_VDDA33_BAT,U_PAD_VDDA33_BAT,B,B,P,-,-,-,166.575,45.3,58,58
0,-,39,VBAT_PIO_0,-,-,B,-,-,-,-,231.575,45.3,54,64.52
0,-,40,VBAT_PIO_1,-,-,B,-,-,-,-,301.575,45.3,54,64.52
0,-,41,VBAT_PIO_2,-,-,B,-,-,-,-,371.575,45.3,54,64.52
21,VBAT_PIO_0,42,VBAT_PIO_3,-,B,B,-,-,-,-,441.575,45.3,54,64.52
22,VBAT_PIO_1,43,VBAT_PIO_4,-,B,B,-,-,-,-,511.575,45.3,54,64.52
0,-,44,VBAT_PIO_5,-,-,B,-,-,-,-,581.575,45.3,54,64.52
0,-,45,VBAT_PIO_6,-,-,B,-,-,-,-,651.575,45.3,54,64.52
23,VBAT_PIO_2,46,VBAT_PIO_7,-,B,B,-,-,-,-,721.575,45.3,54,64.52
0,-,47,GND_XTAL%C%U_PAD_GNDA_XTAL,U_PAD_GNDA_XTAL,-,B,G,-,-,-,786.575,45.3,58,58
23,VBAT_PIO_2,48,LEXT_IN,-,B,B,-,-,-,-,906.575,45.8,58,59
24,VBAT_PIO_3,49,LEXT_OUT,-,B,B,-,-,-,-,846.575,45.8,58,59
24,VBAT_PIO_3,50,VBAT_PIO_8,-,B,B,-,-,-,-,971.575,45.3,54,64.52
0,-,51,GND_APR%C%U_PAD_GNDA_7,U_PAD_GNDA_7,-,B,G,-,-,-,1066.575,45.3,118,58
0,-,51,GND_APR%C%U_PAD_GNDA_7,U_PAD_GNDA_7,-,B,G,-,-,-,1066.575,45.3,118,58
D1.21,-,52,VDD33%IO%U_PAD_VDDA33_1,U_PAD_VDDA33_1,-,B,P,-,-,-,1156.575,45.3,58,58
0,-,53,PAD_RESB,-,-,B,-,-,-,-,1225.375,200.55,58,96
0,-,54,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,1285.375,200.55,58,96
0,-,55,PAD_DDR_VLDO,-,-,B,-,-,-,PSRAM-AIP,1287.375,42.75,118,58
0,-,56,PAD_DQ0,-,-,B,-,-,-,PSRAM-AIP,1345.375,200.55,58,96
0,-,57,PAD_DQ1,-,-,B,-,-,-,PSRAM-AIP,1405.375,200.55,58,96
0,-,58,PAD_DDR_VLDO,-,-,B,-,-,-,PSRAM-AIP,1437.375,42.75,118,58
0,-,59,PAD_DDR_VLDO,-,-,B,-,-,-,PSRAM-AIP,1465.375,200.55,58,96
0,-,60,PAD_DQ2,-,-,B,-,-,-,PSRAM-AIP,1525.375,200.55,58,96
0,-,61,PAD_DQ3,-,-,B,-,-,-,PSRAM-AIP,1585.375,200.55,58,96
0,-,62,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,1587.375,42.75,118,58
25,VDD33_RAM,63,PAD_CEB_LS,-,B,B,P,-,-,PSRAM-AIP,1645.375,200.55,58,96
0,-,64,PAD_CKB_LS,-,-,B,-,-,-,PSRAM-AIP,1705.375,200.55,58,96
0,-,65,PAD_DDR_VDDA33,-,-,B,-,-,-,PSRAM-AIP,1737.375,42.75,118,58
0,-,66,PAD_CK_LS,-,-,B,G,-,-,PSRAM-AIP,1765.375,200.55,58,96
0,-,67,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,1825.375,200.55,58,96
0,-,68,PAD_DQ4,-,-,B,-,-,-,PSRAM-AIP,1885.375,200.55,58,96
0,-,69,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,1887.375,42.75,118,58
25,VDD33_RAM,70,PAD_DQ5,-,B,B,P,-,-,PSRAM-AIP,1945.375,200.55,58,96
0,-,71,PAD_DDR_VLDO,-,-,B,-,-,-,PSRAM-AIP,2005.375,200.55,58,96
0,-,72,PAD_DDR_VDDA33,-,-,B,-,-,-,PSRAM-AIP,2037.375,42.75,118,58
0,-,73,PAD_DQ6,-,-,B,G,-,-,PSRAM-AIP,2065.375,200.55,58,96
0,-,74,PAD_DQ7,-,-,B,-,-,-,PSRAM-AIP,2125.375,200.55,58,96
0,-,75,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,2185.375,200.55,58,96
0,-,76,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,2187.375,42.75,118,58
25,VDD33_RAM,77,PAD_LDQS,-,B,B,P,-,-,PSRAM-AIP,2245.375,200.55,58,96
0,-,78,PAD_LDQSB,-,-,B,-,-,-,PSRAM-AIP,2305.375,200.55,58,96
0,-,79,PAD_DDR_VDDA33,-,-,B,-,-,-,PSRAM-AIP,2337.375,42.75,118,58
0,-,80,PAD_DDR_VLDO,-,-,B,G,-,-,PSRAM-AIP,2365.375,200.55,58,96
0,-,81,PAD_LDM,-,-,B,-,-,-,PSRAM-AIP,2425.375,200.55,58,96
0,-,82,PAD_CEB,-,-,B,-,-,-,PSRAM-AIP,2485.375,200.55,58,96
0,-,83,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,2487.375,42.75,118,58
25,VDD33_RAM,84,PAD_DDR_VSSA33,-,B,B,P,-,-,PSRAM-AIP,2545.375,200.55,58,96
0,-,85,PAD_CK,-,-,B,-,-,-,PSRAM-AIP,2605.375,200.55,58,96
0,-,86,PAD_DDR_VDDA33,-,-,B,-,-,-,PSRAM-AIP,2637.375,42.75,118,58
25,VDD33_RAM,87,PAD_CKB,-,B,B,P,-,-,PSRAM-AIP,2665.375,200.55,58,96
0,-,88,PAD_DDR_VLDO,-,-,B,-,-,-,PSRAM-AIP,2725.375,200.55,58,96
0,-,89,PAD_DDR_VSSA33,-,-,B,-,-,-,PSRAM-AIP,2785.375,200.55,58,96
0,-,90,PAD_DDR_VDDA33,-,-,B,G,-,-,PSRAM-AIP,2845.375,200.55,58,96
0,-,91,PAD_DDR_VLDO,-,-,B,-,-,-,PSRAM-AIP,2845.375,494.82,65,65
0,-,92,GND_APR%C%U_PAD_GNDA_8,U_PAD_GNDA_8,-,B,G,-,-,-,3004,45.3,54,64.52
0,-,93,GND_APR%C%U_PAD_GNDA_9,U_PAD_GNDA_9,-,R,G,-,-,-,3114.7,251,58,118
26,PIO_7,94,PIO_7,-,B,R,-,-,-,-,3114.7,346,64.52,54
27,PIO_8,95,PIO_8,-,B,R,-,-,-,-,3114.7,416,64.52,54
28,PIO_9,96,PIO_9,-,B,R,-,-,-,-,3114.7,486,64.52,54
29,PIO_10,97,PIO_10,-,R,R,-,-,-,-,3114.7,556,64.52,54
30,PIO_11,98,PIO_11,-,R,R,-,-,-,-,3114.7,626,64.52,54
31,PIO_12,99,PIO_12,-,R,R,-,-,-,-,3114.7,696,64.52,54
0,-,100,GND_APR%C%U_PAD_GNDA_10,U_PAD_GNDA_10,-,R,G,-,-,-,3114.7,791,58,118
0,-,100,GND_APR%C%U_PAD_GNDA_10,U_PAD_GNDA_10,-,R,G,-,-,-,3114.7,791,58,118
32,PIO_13,101,PIO_13,-,R,R,-,-,-,-,3114.7,886,64.52,54
33,PIO_14,102,PIO_14,-,R,R,-,-,-,-,3114.7,956,64.52,54
34,PIO_15,103,PIO_15,-,R,R,-,-,-,-,3114.7,1026,64.52,54
35,PIO_16,104,PIO_16,-,R,R,-,-,-,-,3114.7,1096,64.52,54
36,PIO_17,105,PIO_17,-,R,R,-,-,-,-,3114.7,1166,64.52,54
0,-,106,GND_APR%C%U_PAD_GNDA_11,U_PAD_GNDA_11,-,R,G,-,-,-,3114.7,1261,58,118
0,-,106,GND_APR%C%U_PAD_GNDA_11,U_PAD_GNDA_11,-,R,G,-,-,-,3114.7,1261,58,118
0,-,107,GND_APR%C%U_PAD_GNDA_12,U_PAD_GNDA_12,-,R,G,-,-,-,3114.7,1381,58,118
D3.7,-,107,GND_APR%C%U_PAD_GNDA_12,U_PAD_GNDA_12,-,R,G,-,-,-,3114.7,1381,58,118
37,VDD11,108,VDD11_APR%IO%U_PAD_VDDD11_3,U_PAD_VDDD11_3,R,R,P,-,-,-,3114.7,2390,58,58
37,VDD11,108,VDD11_APR%IO%U_PAD_VDDD11_3,U_PAD_VDDD11_3,R,R,P,-,-,-,3114.7,2390,58,58
0,-,109,GND_APR%C%U_PAD_GNDA_13,U_PAD_GNDA_13,-,R,G,-,-,-,3114.7,2480,58,118
0,-,109,GND_APR%C%U_PAD_GNDA_13,U_PAD_GNDA_13,-,R,G,-,-,-,3114.7,2480,58,118
D3.8,-,110,QSPI0_WP,-,-,R,-,-,-,FLASH,3114.7,2575,64.52,54
D3.9,-,111,QSPI0_DO,-,-,R,-,-,-,FLASH,3114.7,2645,64.52,54
D3.10,-,112,QSPI0_CS,-,-,R,-,-,-,FLASH,3114.7,2715,64.52,54
38,VDD33_DAC,113,VDD33_FLS%IO%U_PAD_VDDA33_FLS,U_PAD_VDDA33_FLS,R,R,P,-,-,FLASH,3088.7,2780,110,58
38,VDD33_DAC,113,VDD33_FLS%IO%U_PAD_VDDA33_FLS,U_PAD_VDDA33_FLS,R,R,P,-,-,FLASH,3088.7,2780,110,58
D3.11,-,114,VDD33_FLS%IO%U_PAD_VDDA33_FLS_1,U_PAD_VDDA33_FLS_1,-,R,P,-,-,FLASH,3088.7,2840,110,58
D3.13,-,115,QSPI0_HOLD,-,-,R,-,-,-,FLASH,3114.7,2905,64.52,54
D3.14,-,116,QSPI0_CLK,-,-,R,-,-,-,FLASH,3114.7,2975,64.52,54
D3.15,-,117,QSPI0_DI,-,-,R,-,-,-,FLASH,3114.7,3045,64.52,54
0,-,118,GND_APR%C%U_PAD_GNDA_14,U_PAD_GNDA_14,-,R,G,-,-,-,3114.7,3140,58,118
0,-,118,GND_APR%C%U_PAD_GNDA_14,U_PAD_GNDA_14,-,R,G,-,-,-,3114.7,3140,58,118
38,VDD33_DAC,119,PAD_AUDIO_VDD33,-,R,R,P,-,-,AUDIO_CODEC-AIP,3114.7,3899.245,58,58
39,MICIN,120,PAD_AUDIO_IN,-,R,R,-,-,-,AUDIO_CODEC-AIP,3114.7,3719.245,58,58
40,MICBIAS,121,PAD_AUDIO_MICBIAS,-,R,R,-,-,-,AUDIO_CODEC-AIP,3114.7,3779.245,58,58
41,LOUT,122,PAD_AUDIO_LOUT,-,R,R,-,-,-,AUDIO_CODEC-AIP,3114.7,3839.245,58,58
42,AGND,123,PAD_AUDIO_VSS33,-,R,R,G,-,-,AUDIO_CODEC-AIP,3114.7,3659.245,58,58
0,-,124,GND_APR%C%U_PAD_GNDA_15,U_PAD_GNDA_15,-,T,G,-,-,-,1520,4254.7,118,58
0,-,124,GND_APR%C%U_PAD_GNDA_15,U_PAD_GNDA_15,-,T,G,-,-,-,1520,4254.7,118,58
43,PIO_18,125,PIO_18,-,T,T,-,-,-,-,1425,4254.7,54,64.52
44,PIO_19,126,PIO_19,-,T,T,-,-,-,-,1355,4254.7,54,64.52
45,PIO_20,127,PIO_20,-,T,T,-,-,-,-,1285,4254.7,54,64.52
46,PIO_21,128,PIO_21,-,T,T,-,-,-,-,1215,4254.7,54,64.52
47,PIO_22,129,PIO_22,-,T,T,-,-,-,-,1145,4254.7,54,64.52
48,PIO_23,130,PIO_23,-,T,T,-,-,-,-,1075,4254.7,54,64.52
49,PIO_24,131,PIO_24,-,T,T,-,-,-,-,1005,4254.7,54,64.52
50,PIO_25,132,PIO_25,-,T,T,-,-,-,-,935,4254.7,54,64.52
0,-,133,GND_APR%C%U_PAD_GNDA_16,U_PAD_GNDA_16,-,T,G,-,-,-,840,4254.7,118,58
0,-,133,GND_APR%C%U_PAD_GNDA_16,U_PAD_GNDA_16,-,T,G,-,-,-,840,4254.7,118,58
D1.21,-,134,VDD33%IO%U_PAD_VDDA33_2,U_PAD_VDDA33_2,-,T,P,-,-,-,750,4254.7,58,58
(D1.18),-,135,VDD11_APR%IO%U_PAD_VDDD11_4,U_PAD_VDDD11_4,-,T,P,-,-,-,690,4254.7,58,58
0,-,136,GND_APR%C%U_PAD_GNDA_17,U_PAD_GNDA_17,-,T,G,-,-,-,600,4254.7,118,58
0,-,136,GND_APR%C%U_PAD_GNDA_17,U_PAD_GNDA_17,-,T,G,-,-,-,600,4254.7,118,58
51,PIO_26,137,PIO_26,-,T,T,-,-,-,-,505,4254.7,54,64.52
52,PIO_27,138,PIO_27,-,T,T,-,-,-,-,435,4254.7,54,64.52
53,PIO_28,139,PIO_28,-,T,T,-,-,-,-,365,4254.7,54,64.52
54,PIO_29,140,PIO_29,-,T,T,-,-,-,-,295,4254.7,54,64.52
55,PIO_30,141,PIO_30,-,T,T,-,-,-,-,225,4254.7,54,64.52
56,PIO_31,142,PIO_31,-,T,T,-,-,-,-,155,4254.7,54,64.52
0,-,143,GND_APR%C%U_PAD_GNDA_18,U_PAD_GNDA_18,-,T,G,-,-,-,60,4254.7,118,58
